0.0name,pants-fire,false,barely-true,half-true,mostly-true,true
donald-trump,20,44,19,24,28,12
john-mccain,7,31,25,26,30,25
mitt-romney,9,19,28,47,24,20
hillary-clinton,10,23,18,30,51,16
barack-obama,23,19,22,22,51,12
