0.0name,pants-fire,false,barely-true,half-true,mostly-true,true
donald-trump,3,11,5,11,13,5
michele-bachmann,12,16,8,4,5,5
ted-cruz,3,14,15,6,6,5
newt-gingrich,6,7,10,12,12,3
sarah-palin,6,15,9,4,6,8
john-mccain,2,13,2,12,12,8
mitt-romney,3,5,9,13,12,7
joe-biden,2,4,7,19,8,9
bernie-s,0,7,9,10,22,2
hillary-clinton,8,10,6,9,12,5
barack-obama,8,6,10,6,18,2
