name,pants-fire,false,barely-true,half-true,mostly-true,true
donald-trump,18,36,13,16,12,5
john-mccain,5,21,18,19,21,16
mitt-romney,11,18,22,26,14,9
hillary-clinton,2,13,12,21,37,15
barack-obama,2,6,11,22,46,13
