5 Energy
3 Environment
3 Government
2 regulation
7 Jobs
18 Foreign
18 Policy
5 Taxes
9 Economy
3 Debates
2 Sports
5 Elections
2 Guns
14 Candidate
14 Biography
3 Criminal
3 Justice
3 Job
3 Accomplishments
5 Legal
5 Issues
2 Negative
2 Campaigning
5 Public
1 Service
1 Technology
2 Ethics
1 Housing
3 Religion
7 History
2 Trade
15 Terrorism
15 Immigration
1 Urban
3 Iraq
8 Military
4 Crime
2 Veterans
4 Polls
7 and
4 Opinion
2 Women
1 Campaign
1 Finance
1 Pop
1 Culture
3 Nuclear
1 Civil
1 Rights
3 Education
3 Corrections
3 Updates
1 Afghanistan
2 China
2 Federal
2 Budget
1 State
1 Finances
4 Obama
4 Birth
4 Certificate
1 Voting
1 Record
1 Efficiency
1 Health
1 Care
1 Abortion
